(venv) lukas@pi-lukas:~/preisvergleich-scraper $ python main.py --scraper spar --no-upload
spar milchprodukte-alternativen page 44/71: 32 products (32 new)
spar tiefkuehlprodukte page 1/28: 32 products (32 new)
spar milchprodukte-alternativen page 45/71: 32 products (32 new)
spar tiefkuehlprodukte page 2/28: 32 products (32 new)
spar milchprodukte-alternativen page 46/71: 32 products (31 new)
spar tiefkuehlprodukte page 3/28: 32 products (32 new)
spar milchprodukte-alternativen page 47/71: 32 products (32 new)
spar tiefkuehlprodukte page 4/28: 32 products (32 new)
spar milchprodukte-alternativen page 48/71: 32 products (32 new)
spar tiefkuehlprodukte page 5/28: 32 products (32 new)
spar milchprodukte-alternativen page 49/71: 32 products (32 new)
spar tiefkuehlprodukte page 6/28: 32 products (32 new)
spar milchprodukte-alternativen page 50/71: 32 products (32 new)
spar tiefkuehlprodukte page 7/28: 32 products (32 new)
spar milchprodukte-alternativen page 51/71: 32 products (32 new)
spar tiefkuehlprodukte page 8/28: 32 products (32 new)
spar milchprodukte-alternativen page 52/71: 32 products (32 new)
spar tiefkuehlprodukte page 9/28: 32 products (32 new)
spar milchprodukte-alternativen page 53/71: 32 products (32 new)
spar tiefkuehlprodukte page 10/28: 32 products (32 new)
spar milchprodukte-alternativen page 54/71: 32 products (32 new)
spar tiefkuehlprodukte page 11/28: 32 products (32 new)
spar milchprodukte-alternativen page 55/71: 32 products (32 new)
spar tiefkuehlprodukte page 12/28: 32 products (32 new)
spar milchprodukte-alternativen page 56/71: 32 products (32 new)
spar tiefkuehlprodukte page 13/28: 32 products (32 new)
spar milchprodukte-alternativen page 57/71: 32 products (32 new)
spar tiefkuehlprodukte page 14/28: 32 products (32 new)
spar milchprodukte-alternativen page 58/71: 32 products (32 new)
spar tiefkuehlprodukte page 15/28: 32 products (32 new)
spar milchprodukte-alternativen page 59/71: 32 products (32 new)
spar tiefkuehlprodukte page 16/28: 32 products (32 new)
spar milchprodukte-alternativen page 60/71: 32 products (32 new)
spar tiefkuehlprodukte page 17/28: 32 products (32 new)
spar milchprodukte-alternativen page 61/71: 32 products (32 new)
spar tiefkuehlprodukte page 18/28: 32 products (32 new)
spar milchprodukte-alternativen page 62/71: 32 products (32 new)
spar tiefkuehlprodukte page 19/28: 32 products (32 new)
spar milchprodukte-alternativen page 63/71: 32 products (32 new)
spar tiefkuehlprodukte page 20/28: 32 products (32 new)
spar milchprodukte-alternativen page 64/71: 32 products (32 new)
spar tiefkuehlprodukte page 21/28: 32 products (32 new)
spar milchprodukte-alternativen page 65/71: 32 products (32 new)
spar tiefkuehlprodukte page 22/28: 32 products (32 new)
spar milchprodukte-alternativen page 66/71: 32 products (32 new)
spar tiefkuehlprodukte page 23/28: 32 products (32 new)
spar milchprodukte-alternativen page 67/71: 32 products (31 new)
spar tiefkuehlprodukte page 24/28: 32 products (32 new)
spar milchprodukte-alternativen page 68/71: 32 products (32 new)
spar tiefkuehlprodukte page 25/28: 32 products (32 new)
spar milchprodukte-alternativen page 69/71: 32 products (32 new)
spar tiefkuehlprodukte page 26/28: 32 products (32 new)
spar milchprodukte-alternativen page 70/71: 32 products (32 new)
spar tiefkuehlprodukte page 27/28: 32 products (31 new)
spar milchprodukte-alternativen page 71/71: 6 products (6 new)
spar milchprodukte-alternativen total: 2210 products (101 with null SKU)
spar tiefkuehlprodukte page 28/28: 7 products (7 new)
spar tiefkuehlprodukte total: 870 products (21 with null SKU)
spar wurst-fleisch-eier-fisch page 1/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 1/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 2/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 2/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 3/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 3/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 4/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 4/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 5/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 5/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 6/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 6/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 7/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 7/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 8/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 8/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 9/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 9/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 10/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 10/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 11/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 11/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 12/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 12/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 13/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 13/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 14/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 14/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 15/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 15/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 16/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 16/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 17/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 17/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 18/53: 32 products (32 new)
spar beilagen-essig-oel-gewuerze page 18/74: 32 products (32 new)
spar wurst-fleisch-eier-fisch page 19/53: 32 products (32 new)
